Country,Continent,Region,Year,Infant_deaths,Under_five_deaths,Adult_mortality,Alcohol_consumption,BMI,Hepatitis_B,Measles,Polio,Diphtheria,Incidents_HIV,GDP_per_capita,Population_mln,Thinness_ten_nineteen_years,Thinness_five_nine_years,Schooling,Economy_status_Developed,Economy_status_Developing,Life_expectancy
Guatemala,Americas,Central America and Caribbean,2000,41,52.1,207.817,2.52,25,87,83,80,81,0.45,3195,11.59,1.6,1.6,3.7,0,1,67.8
Cambodia,Asia,Asia,2000,79.2,106.3,259.469,0.6,20.7,84,48,62,59,0.81,487,12.16,11.6,11.9,3.2,0,1,58.4
Japan,Asia,Asia,2000,3.3,4.5,72.954,7.96,22.5,83,86,98,85,0.17,31431,126.84,1.6,1.4,10.7,1,0,81.1
El Salvador,Americas,Central America and Caribbean,2000,27.4,33.2,220.1275,2.65,26,99,79,98,99,0.41,2993,5.89,2.1,2,5.2,0,1,68.9
Dominican Republic,Americas,Central America and Caribbean,2000,32.4,40,186.951,6.72,24.9,68,83,71,78,1.02,4209,8.47,3.8,3.7,6.4,0,1,69.4
Jamaica,Americas,Central America and Caribbean,2000,18.9,22.2,168.4155,3.77,25.5,98,96,95,93,0.87,4841,2.65,2,1.9,7.3,0,1,74.1
Grenada,Americas,Central America and Caribbean,2000,12.9,15.5,179.4865,9.21,25.3,97,70,97,97,0.4,6977,0.1,4.3,4.2,7.4,0,1,72.6
Fiji,Oceania,Oceania,2000,19.1,22.4,219.344,2.46,26.3,98,84,91,90,0.03,4107,0.81,4.3,4,9.6,0,1,65.7
Bolivia,Americas,South America,2000,55.9,75.6,240.0465,2.3,24.7,77,83,74,75,0.26,2059,8.42,1.5,1.4,7.4,0,1,62.5
Iraq,Asia,Middle East,2000,35.6,44.5,163.596,0.22,27,67,48,83,80,0.13,4337,23.5,5.6,5.4,5,0,1,69.1
Brunei Darussalam,Asia,Asia,2000,8.2,10.3,106.3215,0.35,25.3,99,95,99,99,0.1,34064,0.33,6.8,6.3,8.3,0,1,73.1
Bahrain,Asia,Middle East,2000,10.7,12.5,88.5395,1.97,25.5,97,92,97,97,0.05,23244,0.66,6.2,6,8.3,0,1,74.4
Saudi Arabia,Asia,Middle East,2000,18.8,22,109.984,0.054,27.6,93,96,95,95,0.13,17691,20.66,7.3,7.4,6.7,0,1,72.6
Indonesia,Asia,Asia,2000,41,52.2,190.7545,0.063,21.6,65,23,72,75,0.06,1868,211.51,11,11.2,6.7,0,1,65.8
Chile,Americas,South America,2000,9.2,10.9,108.8855,6.24,26.6,94,96,91,91,0.15,8556,15.34,1.1,1.1,8.8,0,1,76.4
Turkiye,Asia,Middle East,2000,30.9,37.9,145.7185,1.66,26.7,71,65,85,85,0.08,6544,63.24,5.3,5.2,5.5,0,1,70
St. Lucia,Americas,Central America and Caribbean,2000,15.6,18.4,177.7395,12.8,26.9,90,83,70,70,0.4,9327,0.16,4.5,4.5,7,0,1,73.3
Suriname,Americas,South America,2000,27.5,31.2,210.4495,4.46,25.4,84,16,70,71,1.01,6202,0.47,3.6,3.6,7.7,0,1,67.8
Vietnam,Asia,Asia,2000,23.5,29.8,139.3635,0.71,19.9,85,65,96,96,0.25,1170,79.91,15.8,16.4,5.4,0,1,73
Lebanon,Asia,Middle East,2000,17,19.9,102.479,2.37,26.4,83,56,83,83,0.02,6713,3.84,4.9,4.8,7.5,0,1,74.5
Tonga,Oceania,Oceania,2000,14.5,16.9,158.283,1.22,31.2,93,97,95,91,0.17,3672,0.1,0.1,0.1,9.1,0,1,69.7
Brazil,Americas,South America,2000,30.4,34.7,186.4955,7.3,24.8,94,95,99,98,0.24,6788,174.79,3.4,3.4,5.6,0,1,70.1
Oman,Asia,Middle East,2000,14.2,16.5,130.341,0.38,25.4,99,99,99,99,0.05,20625,2.27,7.2,6.9,5.3,0,1,72.1
Syrian Arab Republic,Asia,Middle East,2000,19.6,23,122.6915,0.93,26.9,79,80,86,84,0.13,1341,16.41,6.8,6.6,4.6,0,1,73.1
Armenia,Asia,Rest of Europe,2000,27,30.6,149.064,2.91,25.7,55,94,96,93,0.08,1290,3.07,2.1,2.2,10.8,0,1,71.4
Sri Lanka,Asia,Asia,2000,14.2,16.5,165.2695,1.45,21.5,86,78,99,99,0.02,1923,18.78,15.3,15.5,10,0,1,71.3
Pakistan,Asia,Asia,2000,84.6,107.8,188.328,0.015,22.5,64,33,61,62,0.13,1029,142.34,22.2,22.6,3.3,0,1,62.8
Nicaragua,Americas,Central America and Caribbean,2000,31.4,38.5,196.9585,3.58,25.8,83,83,85,83,0.16,1445,5.07,2.2,2.1,5.1,0,1,69.5
Kazakhstan,Asia,Asia,2000,36.7,42.5,290.732,5.81,25.6,99,98,96,97,0.02,4446,14.88,2.7,2.7,10.5,0,1,65.5
India,Asia,Asia,2000,66.7,91.7,221.6305,0.93,20.7,67,34,57,58,0.34,758,1056.58,27.7,28.6,4.4,0,1,62.5
Mongolia,Asia,Asia,2000,48.6,63.5,268.2505,2.15,24.3,93,75,94,94,0.01,1592,2.4,2.6,2.6,8.2,0,1,62.9
Peru,Americas,South America,2000,29.3,38.2,153.5785,4.76,25,84,51,93,98,0.19,3304,26.46,1.4,1.4,8,0,1,71.1
"Micronesia, Fed. Sts.",Oceania,Oceania,2000,30.8,37.8,184.963,2.23,28.8,87,65,85,85,0.17,2895,0.11,0.3,0.3,4.8,0,1,64.6
Israel,Asia,Middle East,2000,5.6,6.9,78.6545,2.58,26.1,98,97,93,93,0.08,28748,6.29,1.1,1.1,12,1,0,79
"Yemen, Rep.",Asia,Middle East,2000,68.8,95,253.0155,0.07,22.3,14,95,74,74,0.02,2384,17.41,14.1,14.1,1.2,0,1,60.7
Haiti,Americas,Central America and Caribbean,2000,74.5,103.9,305.806,3.63,23.3,60,83,50,41,1.46,1316,8.46,4.8,4.8,3.8,0,1,57.1
United Arab Emirates,Asia,Middle East,2000,9.6,11.1,98.7545,1.66,27.2,92,92,94,94,0.13,60716,3.13,5.4,5.1,8.3,0,1,74.3
Belize,Americas,Central America and Caribbean,2000,20,23.6,193.722,4.7,27.4,76,89,91,91,1.13,4275,0.25,3.8,3.7,10.1,0,1,68.8
Uruguay,Americas,South America,2000,14.8,17,126.459,7.11,25.9,92,93,92,90,0.18,10083,3.32,1.8,1.7,8,0,1,74.7
Guyana,Americas,South America,2000,37,46.4,230.6765,6.82,24.6,89,80,79,88,0.98,3851,0.75,5.9,5.8,7.7,0,1,65.2
Jordan,Asia,Middle East,2000,22.5,26.8,131.69,0.47,27.8,93,83,94,91,0.13,3588,5.12,4,4,9.5,0,1,71.7
Papua New Guinea,Oceania,Oceania,2000,53.6,71.1,274.1065,0.67,24.1,57,65,51,59,0.54,1884,5.85,1.6,1.5,3.3,0,1,59.3
China,Asia,Asia,2000,29.9,36.7,112.89,3.01,22.4,60,89,86,85,0.1,2194,1262.65,5.9,5.1,6.5,0,1,71.4
"Venezuela, RB",Americas,South America,2000,18.4,21.6,160.565,8.09,26.2,50,83,86,77,0.4,4842,24.19,1.8,1.7,6.4,0,1,72.1
Philippines,Asia,Asia,2000,28.7,37.7,215.3515,4.72,22.2,46,19,74,78,0.01,1831,77.99,1,9.6,7.6,0,1,68.8
Thailand,Asia,Asia,2000,18.7,22,197.392,5.81,22.9,95,99,97,97,0.66,3518,62.95,9.4,9.7,6.1,0,1,70.6
Nepal,Asia,Asia,2000,58.7,79.1,237.2425,0.084,20.7,46,65,74,74,0.17,561,23.94,18.5,19.2,2.4,0,1,62.3
Bangladesh,Asia,Asia,2000,63.1,86,170.133,0.005,20.2,75,63,83,82,0.01,654,127.66,2.9,21.5,4.1,0,1,65.4
Tajikistan,Asia,Asia,2000,67.6,83.6,178.7895,0.81,24.1,52,59,86,83,0.01,434,6.22,4.2,4.1,10.6,0,1,62
Azerbaijan,Asia,Asia,2000,60.9,74.4,169.5265,0.66,25.6,50,66,75,76,0.12,1481,8.05,3.2,3.1,10.6,0,1,66.8
Bhutan,Asia,Asia,2000,57.5,77.2,291.8915,1.66,22.2,98,77,98,92,0.21,1108,0.59,19.2,19.9,2.3,0,1,60.9
Antigua and Barbuda,Americas,Central America and Caribbean,2000,12.6,15.5,156.232,6.86,25.1,98,58,96,95,0.1,14070,0.08,3.7,3.6,7,0,1,73.9
Trinidad and Tobago,Americas,Central America and Caribbean,2000,24.7,27.9,193.695,4.81,25.9,83,77,90,90,0.4,10669,1.27,6.7,7.2,9.2,0,1,69.4
St. Vincent and the Grenadines,Americas,Central America and Caribbean,2000,19.2,22.2,183.408,5.13,25.5,99,83,99,98,0.4,5339,0.11,4,3.9,7.6,0,1,70.8
New Zealand,Oceania,Oceania,2000,6.1,7.4,85.7,8.83,26.7,90,86,82,90,0.02,30863,3.86,0.3,0.3,11.6,1,0,78.6
Maldives,Asia,Asia,2000,31.7,39,130.99,1.99,23.1,96,70,98,98,0.17,6982,0.28,14.8,14.8,3,0,1,70.2
Georgia,Asia,Rest of Europe,2000,31.9,36.6,171.5205,3.29,25.8,55,51,81,80,0.02,1567,4.08,3.1,3.1,11.7,0,1,69.9
Kyrgyz Republic,Asia,Asia,2000,42.5,49.8,223.7235,5.33,24.7,44,65,99,99,0.02,718,4.9,3.6,3.6,9.8,0,1,68.6
Kiribati,Oceania,Oceania,2000,51.7,68.1,222.442,0.56,28.7,90,35,90,90,0.17,1554,0.08,0.2,0.2,6.8,0,1,63.1
Samoa,Oceania,Oceania,2000,18.1,21.2,176.802,3,30.5,89,46,98,95,0.17,3059,0.17,0.2,0.2,8.8,0,1,68.7
Malaysia,Asia,Asia,2000,8.7,10.2,135.1495,0.56,23.8,97,91,98,98,0.26,6393,23.19,9.8,9.6,8.6,0,1,72.6
Australia,Oceania,Oceania,2000,5.1,6.2,77.0385,10.17,26.2,95,85,90,90,0.04,45559,19.15,0.7,0.7,11.9,1,0,79.2
Paraguay,Americas,South America,2000,27.9,33.9,169.386,5.64,24.9,89,55,86,86,0.18,3904,5.32,2.5,2.4,5.9,0,1,70.5
Ecuador,Americas,South America,2000,24.7,29.5,158.027,4.01,25.3,36,95,83,87,0.23,4209,12.68,1.6,1.5,7,0,1,72.8
Canada,Americas,North America,2000,5.3,6.2,80.9805,7.6,26.3,14,84,88,89,0.1,34122,30.69,0.5,0.5,11,1,0,79.1
Cuba,Americas,Central America and Caribbean,2000,7,8.8,111.3225,3.93,24.5,98,75,98,95,0.12,4106,11.13,3.6,3.4,9.6,0,1,76.7
Qatar,Asia,Middle East,2000,10.7,12.5,71.201,0.55,27.6,89,91,91,80,0.04,56865,0.59,4.8,4.5,7.9,0,1,77.5
Panama,Americas,Central America and Caribbean,2000,21.9,26,124.869,5.08,25.6,98,88,99,98,0.4,6955,3.03,2.4,2.3,8.5,0,1,75.1
Kuwait,Asia,Middle East,2000,10.7,12.4,89.1345,0.013,28.3,95,86,94,98,0.13,29952,2.05,3.2,3.1,6.2,0,1,73.1
Barbados,Americas,Central America and Caribbean,2000,13.7,15.1,127.413,7.31,26.5,93,41,86,93,0.61,16277,0.27,4.3,4.2,9,0,1,77.2
Turkmenistan,Asia,Asia,2000,57.5,69.7,235.697,2.89,24.7,96,92,98,97,0.08,2288,4.52,3.6,3.6,9.9,0,1,63.6
Mexico,Americas,North America,2000,23.8,28.4,129.6625,5.16,26.7,97,98,97,97,0.15,8862,98.9,2,1.9,6.7,0,1,74.3
Timor-Leste,Asia,Oceania,2000,84.5,107.7,268.989,0.5,19.9,75,64,50,55,0.03,942,0.88,12.2,12.2,2.8,0,1,59
Myanmar,Asia,Asia,2000,65.4,89.6,241.4125,0.12,21.3,74,63,88,82,0.54,310,46.72,13.3,13.7,3.1,0,1,60.1
Argentina,Americas,South America,2000,17.5,19.6,139.3255,7.68,26.1,73,56,88,83,0.16,10731,36.87,1.2,1.1,9.1,0,1,73.6
Lao PDR,Asia,Asia,2000,76.5,107.2,274.451,5.19,21.1,48,65,57,51,0.1,936,5.32,1.5,1.5,3.9,0,1,58.8
